WKT;no
POLYGON ((153 34.6666666666667,153 35.3333333333333,154 35.3333333333333,154 34.6666666666667,153 34.6666666666667));5253
POLYGON ((154 34.6666666666667,154 35.3333333333333,,,154 34.6666666666667));5254
POLYGON ((122 34,122 34.6666666666667,123 34.6666666666667,123 34,122 34));5122
POLYGON ((123 34,123 34.6666666666667,124 34.6666666666667,124 34,123 34));5123
POLYGON ((124 34,124 34.6666666666667,125 34.6666666666667,125 34,124 34));5124
POLYGON ((125 34,125 34.6666666666667,126 34.6666666666667,126 34,125 34));5125
POLYGON ((126 34,126 34.6666666666667,127 34.6666666666667,127 34,126 34));5126
POLYGON ((127 34,127 34.6666666666667,128 34.6666666666667,128 34,127 34));5127
POLYGON ((128 34,128 34.6666666666667,129 34.6666666666667,129 34,128 34));5128
POLYGON ((129 34,129 34.6666666666667,130 34.6666666666667,130 34,129 34));5129
POLYGON ((130 34,130 34.6666666666667,131 34.6666666666667,131 34,130 34));5130
POLYGON ((131 34,131 34.6666666666667,132 34.6666666666667,132 34,131 34));5131
POLYGON ((132 34,132 34.6666666666667,133 34.6666666666667,133 34,132 34));5132
POLYGON ((133 34,133 34.6666666666667,134 34.6666666666667,134 34,133 34));5133
POLYGON ((134 34,134 34.6666666666667,135 34.6666666666667,135 34,134 34));5134
POLYGON ((135 34,135 34.6666666666667,136 34.6666666666667,136 34,135 34));5135
POLYGON ((136 34,136 34.6666666666667,137 34.6666666666667,137 34,136 34));5136
POLYGON ((137 34,137 34.6666666666667,138 34.6666666666667,138 34,137 34));5137
POLYGON ((138 34,138 34.6666666666667,139 34.6666666666667,139 34,138 34));5138
POLYGON ((139 34,139 34.6666666666667,140 34.6666666666667,140 34,139 34));5139
POLYGON ((140 34,140 34.6666666666667,141 34.6666666666667,141 34,140 34));5140
POLYGON ((141 34,141 34.6666666666667,142 34.6666666666667,142 34,141 34));5141
POLYGON ((142 34,142 34.6666666666667,143 34.6666666666667,143 34,142 34));5142
POLYGON ((143 34,143 34.6666666666667,144 34.6666666666667,144 34,143 34));5143
POLYGON ((144 34,144 34.6666666666667,145 34.6666666666667,145 34,144 34));5144
POLYGON ((145 34,145 34.6666666666667,146 34.6666666666667,146 34,145 34));5145
POLYGON ((146 34,146 34.6666666666667,147 34.6666666666667,147 34,146 34));5146
POLYGON ((147 34,147 34.6666666666667,148 34.6666666666667,148 34,147 34));5147
POLYGON ((148 34,148 34.6666666666667,149 34.6666666666667,149 34,148 34));5148
POLYGON ((149 34,149 34.6666666666667,150 34.6666666666667,150 34,149 34));5149
POLYGON ((150 34,150 34.6666666666667,151 34.6666666666667,151 34,150 34));5150
POLYGON ((151 34,151 34.6666666666667,152 34.6666666666667,152 34,151 34));5151
POLYGON ((152 34,152 34.6666666666667,153 34.6666666666667,153 34,152 34));5152
POLYGON ((153 34,153 34.6666666666667,154 34.6666666666667,154 34,153 34));5153
POLYGON ((154 34,154 34.6666666666667,,,154 34));5154
POLYGON ((122 33.3333333333333,122 34,123 34,123 33.3333333333333,122 33.3333333333333));5022
POLYGON ((123 33.3333333333333,123 34,124 34,124 33.3333333333333,123 33.3333333333333));5023
POLYGON ((124 33.3333333333333,124 34,125 34,125 33.3333333333333,124 33.3333333333333));5024
POLYGON ((125 33.3333333333333,125 34,126 34,126 33.3333333333333,125 33.3333333333333));5025
POLYGON ((126 33.3333333333333,126 34,127 34,127 33.3333333333333,126 33.3333333333333));5026
POLYGON ((127 33.3333333333333,127 34,128 34,128 33.3333333333333,127 33.3333333333333));5027
POLYGON ((128 33.3333333333333,128 34,129 34,129 33.3333333333333,128 33.3333333333333));5028
POLYGON ((129 33.3333333333333,129 34,130 34,130 33.3333333333333,129 33.3333333333333));5029
POLYGON ((130 33.3333333333333,130 34,131 34,131 33.3333333333333,130 33.3333333333333));5030
POLYGON ((131 33.3333333333333,131 34,132 34,132 33.3333333333333,131 33.3333333333333));5031
POLYGON ((132 33.3333333333333,132 34,133 34,133 33.3333333333333,132 33.3333333333333));5032
POLYGON ((133 33.3333333333333,133 34,134 34,134 33.3333333333333,133 33.3333333333333));5033
POLYGON ((134 33.3333333333333,134 34,135 34,135 33.3333333333333,134 33.3333333333333));5034
POLYGON ((135 33.3333333333333,135 34,136 34,136 33.3333333333333,135 33.3333333333333));5035
POLYGON ((136 33.3333333333333,136 34,137 34,137 33.3333333333333,136 33.3333333333333));5036
POLYGON ((137 33.3333333333333,137 34,138 34,138 33.3333333333333,137 33.3333333333333));5037
POLYGON ((138 33.3333333333333,138 34,139 34,139 33.3333333333333,138 33.3333333333333));5038
POLYGON ((139 33.3333333333333,139 34,140 34,140 33.3333333333333,139 33.3333333333333));5039
POLYGON ((140 33.3333333333333,140 34,141 34,141 33.3333333333333,140 33.3333333333333));5040
POLYGON ((141 33.3333333333333,141 34,142 34,142 33.3333333333333,141 33.3333333333333));5041
POLYGON ((142 33.3333333333333,142 34,143 34,143 33.3333333333333,142 33.3333333333333));5042
POLYGON ((143 33.3333333333333,143 34,144 34,144 33.3333333333333,143 33.3333333333333));5043
POLYGON ((144 33.3333333333333,144 34,145 34,145 33.3333333333333,144 33.3333333333333));5044
POLYGON ((145 33.3333333333333,145 34,146 34,146 33.3333333333333,145 33.3333333333333));5045
POLYGON ((146 33.3333333333333,146 34,147 34,147 33.3333333333333,146 33.3333333333333));5046
POLYGON ((147 33.3333333333333,147 34,148 34,148 33.3333333333333,147 33.3333333333333));5047
POLYGON ((148 33.3333333333333,148 34,149 34,149 33.3333333333333,148 33.3333333333333));5048
POLYGON ((149 33.3333333333333,149 34,150 34,150 33.3333333333333,149 33.3333333333333));5049
POLYGON ((150 33.3333333333333,150 34,151 34,151 33.3333333333333,150 33.3333333333333));5050
POLYGON ((151 33.3333333333333,151 34,152 34,152 33.3333333333333,151 33.3333333333333));5051
POLYGON ((152 33.3333333333333,152 34,153 34,153 33.3333333333333,152 33.3333333333333));5052
POLYGON ((153 33.3333333333333,153 34,154 34,154 33.3333333333333,153 33.3333333333333));5053
POLYGON ((154 33.3333333333333,154 34,,,154 33.3333333333333));5054
POLYGON ((122 32.6666666666667,122 33.3333333333333,123 33.3333333333333,123 32.6666666666667,122 32.6666666666667));4922
POLYGON ((123 32.6666666666667,123 33.3333333333333,124 33.3333333333333,124 32.6666666666667,123 32.6666666666667));4923
POLYGON ((124 32.6666666666667,124 33.3333333333333,125 33.3333333333333,125 32.6666666666667,124 32.6666666666667));4924
POLYGON ((125 32.6666666666667,125 33.3333333333333,126 33.3333333333333,126 32.6666666666667,125 32.6666666666667));4925
POLYGON ((126 32.6666666666667,126 33.3333333333333,127 33.3333333333333,127 32.6666666666667,126 32.6666666666667));4926
POLYGON ((127 32.6666666666667,127 33.3333333333333,128 33.3333333333333,128 32.6666666666667,127 32.6666666666667));4927
POLYGON ((128 32.6666666666667,128 33.3333333333333,129 33.3333333333333,129 32.6666666666667,128 32.6666666666667));4928
POLYGON ((129 32.6666666666667,129 33.3333333333333,130 33.3333333333333,130 32.6666666666667,129 32.6666666666667));4929
POLYGON ((130 32.6666666666667,130 33.3333333333333,131 33.3333333333333,131 32.6666666666667,130 32.6666666666667));4930
POLYGON ((131 32.6666666666667,131 33.3333333333333,132 33.3333333333333,132 32.6666666666667,131 32.6666666666667));4931
POLYGON ((132 32.6666666666667,132 33.3333333333333,133 33.3333333333333,133 32.6666666666667,132 32.6666666666667));4932
POLYGON ((133 32.6666666666667,133 33.3333333333333,134 33.3333333333333,134 32.6666666666667,133 32.6666666666667));4933
POLYGON ((134 32.6666666666667,134 33.3333333333333,135 33.3333333333333,135 32.6666666666667,134 32.6666666666667));4934
POLYGON ((135 32.6666666666667,135 33.3333333333333,136 33.3333333333333,136 32.6666666666667,135 32.6666666666667));4935
POLYGON ((136 32.6666666666667,136 33.3333333333333,137 33.3333333333333,137 32.6666666666667,136 32.6666666666667));4936
POLYGON ((137 32.6666666666667,137 33.3333333333333,138 33.3333333333333,138 32.6666666666667,137 32.6666666666667));4937
POLYGON ((138 32.6666666666667,138 33.3333333333333,139 33.3333333333333,139 32.6666666666667,138 32.6666666666667));4938
POLYGON ((139 32.6666666666667,139 33.3333333333333,140 33.3333333333333,140 32.6666666666667,139 32.6666666666667));4939
POLYGON ((140 32.6666666666667,140 33.3333333333333,141 33.3333333333333,141 32.6666666666667,140 32.6666666666667));4940
POLYGON ((141 32.6666666666667,141 33.3333333333333,142 33.3333333333333,142 32.6666666666667,141 32.6666666666667));4941
POLYGON ((142 32.6666666666667,142 33.3333333333333,143 33.3333333333333,143 32.6666666666667,142 32.6666666666667));4942
POLYGON ((143 32.6666666666667,143 33.3333333333333,144 33.3333333333333,144 32.6666666666667,143 32.6666666666667));4943
POLYGON ((144 32.6666666666667,144 33.3333333333333,145 33.3333333333333,145 32.6666666666667,144 32.6666666666667));4944
POLYGON ((145 32.6666666666667,145 33.3333333333333,146 33.3333333333333,146 32.6666666666667,145 32.6666666666667));4945
POLYGON ((146 32.6666666666667,146 33.3333333333333,147 33.3333333333333,147 32.6666666666667,146 32.6666666666667));4946
POLYGON ((147 32.6666666666667,147 33.3333333333333,148 33.3333333333333,148 32.6666666666667,147 32.6666666666667));4947
POLYGON ((148 32.6666666666667,148 33.3333333333333,149 33.3333333333333,149 32.6666666666667,148 32.6666666666667));4948
POLYGON ((149 32.6666666666667,149 33.3333333333333,150 33.3333333333333,150 32.6666666666667,149 32.6666666666667));4949
POLYGON ((150 32.6666666666667,150 33.3333333333333,151 33.3333333333333,151 32.6666666666667,150 32.6666666666667));4950
POLYGON ((151 32.6666666666667,151 33.3333333333333,152 33.3333333333333,152 32.6666666666667,151 32.6666666666667));4951
POLYGON ((152 32.6666666666667,152 33.3333333333333,153 33.3333333333333,153 32.6666666666667,152 32.6666666666667));4952
POLYGON ((153 32.6666666666667,153 33.3333333333333,154 33.3333333333333,154 32.6666666666667,153 32.6666666666667));4953
POLYGON ((154 32.6666666666667,154 33.3333333333333,,,154 32.6666666666667));4954
POLYGON ((122 32,122 32.6666666666667,123 32.6666666666667,123 32,122 32));4822
POLYGON ((123 32,123 32.6666666666667,124 32.6666666666667,124 32,123 32));4823
POLYGON ((124 32,124 32.6666666666667,125 32.6666666666667,125 32,124 32));4824
POLYGON ((125 32,125 32.6666666666667,126 32.6666666666667,126 32,125 32));4825
POLYGON ((126 32,126 32.6666666666667,127 32.6666666666667,127 32,126 32));4826
POLYGON ((127 32,127 32.6666666666667,128 32.6666666666667,128 32,127 32));4827
POLYGON ((128 32,128 32.6666666666667,129 32.6666666666667,129 32,128 32));4828
POLYGON ((129 32,129 32.6666666666667,130 32.6666666666667,130 32,129 32));4829
POLYGON ((130 32,130 32.6666666666667,131 32.6666666666667,131 32,130 32));4830
POLYGON ((131 32,131 32.6666666666667,132 32.6666666666667,132 32,131 32));4831
POLYGON ((132 32,132 32.6666666666667,133 32.6666666666667,133 32,132 32));4832
POLYGON ((133 32,133 32.6666666666667,134 32.6666666666667,134 32,133 32));4833
POLYGON ((134 32,134 32.6666666666667,135 32.6666666666667,135 32,134 32));4834
POLYGON ((135 32,135 32.6666666666667,136 32.6666666666667,136 32,135 32));4835
POLYGON ((136 32,136 32.6666666666667,137 32.6666666666667,137 32,136 32));4836
POLYGON ((137 32,137 32.6666666666667,138 32.6666666666667,138 32,137 32));4837
POLYGON ((138 32,138 32.6666666666667,139 32.6666666666667,139 32,138 32));4838
POLYGON ((139 32,139 32.6666666666667,140 32.6666666666667,140 32,139 32));4839
POLYGON ((140 32,140 32.6666666666667,141 32.6666666666667,141 32,140 32));4840
POLYGON ((141 32,141 32.6666666666667,142 32.6666666666667,142 32,141 32));4841
POLYGON ((142 32,142 32.6666666666667,143 32.6666666666667,143 32,142 32));4842
POLYGON ((143 32,143 32.6666666666667,144 32.6666666666667,144 32,143 32));4843
POLYGON ((144 32,144 32.6666666666667,145 32.6666666666667,145 32,144 32));4844
POLYGON ((145 32,145 32.6666666666667,146 32.6666666666667,146 32,145 32));4845
POLYGON ((146 32,146 32.6666666666667,147 32.6666666666667,147 32,146 32));4846
POLYGON ((147 32,147 32.6666666666667,148 32.6666666666667,148 32,147 32));4847
POLYGON ((148 32,148 32.6666666666667,149 32.6666666666667,149 32,148 32));4848
POLYGON ((149 32,149 32.6666666666667,150 32.6666666666667,150 32,149 32));4849
POLYGON ((150 32,150 32.6666666666667,151 32.6666666666667,151 32,150 32));4850
POLYGON ((151 32,151 32.6666666666667,152 32.6666666666667,152 32,151 32));4851
POLYGON ((152 32,152 32.6666666666667,153 32.6666666666667,153 32,152 32));4852
POLYGON ((153 32,153 32.6666666666667,154 32.6666666666667,154 32,153 32));4853
POLYGON ((154 32,154 32.6666666666667,,,154 32));4854
POLYGON ((122 31.3333333333333,122 32,123 32,123 31.3333333333333,122 31.3333333333333));4722
POLYGON ((123 31.3333333333333,123 32,124 32,124 31.3333333333333,123 31.3333333333333));4723
POLYGON ((124 31.3333333333333,124 32,125 32,125 31.3333333333333,124 31.3333333333333));4724
POLYGON ((125 31.3333333333333,125 32,126 32,126 31.3333333333333,125 31.3333333333333));4725
POLYGON ((126 31.3333333333333,126 32,127 32,127 31.3333333333333,126 31.3333333333333));4726
POLYGON ((127 31.3333333333333,127 32,128 32,128 31.3333333333333,127 31.3333333333333));4727
POLYGON ((128 31.3333333333333,128 32,129 32,129 31.3333333333333,128 31.3333333333333));4728
POLYGON ((129 31.3333333333333,129 32,130 32,130 31.3333333333333,129 31.3333333333333));4729
POLYGON ((130 31.3333333333333,130 32,131 32,131 31.3333333333333,130 31.3333333333333));4730
POLYGON ((131 31.3333333333333,131 32,132 32,132 31.3333333333333,131 31.3333333333333));4731
POLYGON ((132 31.3333333333333,132 32,133 32,133 31.3333333333333,132 31.3333333333333));4732
POLYGON ((133 31.3333333333333,133 32,134 32,134 31.3333333333333,133 31.3333333333333));4733
POLYGON ((134 31.3333333333333,134 32,135 32,135 31.3333333333333,134 31.3333333333333));4734
POLYGON ((135 31.3333333333333,135 32,136 32,136 31.3333333333333,135 31.3333333333333));4735
POLYGON ((136 31.3333333333333,136 32,137 32,137 31.3333333333333,136 31.3333333333333));4736
POLYGON ((137 31.3333333333333,137 32,138 32,138 31.3333333333333,137 31.3333333333333));4737
POLYGON ((138 31.3333333333333,138 32,139 32,139 31.3333333333333,138 31.3333333333333));4738
POLYGON ((139 31.3333333333333,139 32,140 32,140 31.3333333333333,139 31.3333333333333));4739
POLYGON ((140 31.3333333333333,140 32,141 32,141 31.3333333333333,140 31.3333333333333));4740
POLYGON ((141 31.3333333333333,141 32,142 32,142 31.3333333333333,141 31.3333333333333));4741
POLYGON ((142 31.3333333333333,142 32,143 32,143 31.3333333333333,142 31.3333333333333));4742
POLYGON ((143 31.3333333333333,143 32,144 32,144 31.3333333333333,143 31.3333333333333));4743
POLYGON ((144 31.3333333333333,144 32,145 32,145 31.3333333333333,144 31.3333333333333));4744
POLYGON ((145 31.3333333333333,145 32,146 32,146 31.3333333333333,145 31.3333333333333));4745
POLYGON ((146 31.3333333333333,146 32,147 32,147 31.3333333333333,146 31.3333333333333));4746
POLYGON ((147 31.3333333333333,147 32,148 32,148 31.3333333333333,147 31.3333333333333));4747
POLYGON ((148 31.3333333333333,148 32,149 32,149 31.3333333333333,148 31.3333333333333));4748
POLYGON ((149 31.3333333333333,149 32,150 32,150 31.3333333333333,149 31.3333333333333));4749
POLYGON ((150 31.3333333333333,150 32,151 32,151 31.3333333333333,150 31.3333333333333));4750
POLYGON ((151 31.3333333333333,151 32,152 32,152 31.3333333333333,151 31.3333333333333));4751
POLYGON ((152 31.3333333333333,152 32,153 32,153 31.3333333333333,152 31.3333333333333));4752
POLYGON ((153 31.3333333333333,153 32,154 32,154 31.3333333333333,153 31.3333333333333));4753
POLYGON ((154 31.3333333333333,154 32,,,154 31.3333333333333));4754
POLYGON ((122 30.6666666666667,122 31.3333333333333,123 31.3333333333333,123 30.6666666666667,122 30.6666666666667));4622
POLYGON ((123 30.6666666666667,123 31.3333333333333,124 31.3333333333333,124 30.6666666666667,123 30.6666666666667));4623
POLYGON ((124 30.6666666666667,124 31.3333333333333,125 31.3333333333333,125 30.6666666666667,124 30.6666666666667));4624
POLYGON ((125 30.6666666666667,125 31.3333333333333,126 31.3333333333333,126 30.6666666666667,125 30.6666666666667));4625
POLYGON ((126 30.6666666666667,126 31.3333333333333,127 31.3333333333333,127 30.6666666666667,126 30.6666666666667));4626
POLYGON ((127 30.6666666666667,127 31.3333333333333,128 31.3333333333333,128 30.6666666666667,127 30.6666666666667));4627
POLYGON ((128 30.6666666666667,128 31.3333333333333,129 31.3333333333333,129 30.6666666666667,128 30.6666666666667));4628
POLYGON ((129 30.6666666666667,129 31.3333333333333,130 31.3333333333333,130 30.6666666666667,129 30.6666666666667));4629
POLYGON ((130 30.6666666666667,130 31.3333333333333,131 31.3333333333333,131 30.6666666666667,130 30.6666666666667));4630
POLYGON ((131 30.6666666666667,131 31.3333333333333,132 31.3333333333333,132 30.6666666666667,131 30.6666666666667));4631
POLYGON ((132 30.6666666666667,132 31.3333333333333,133 31.3333333333333,133 30.6666666666667,132 30.6666666666667));4632
POLYGON ((133 30.6666666666667,133 31.3333333333333,134 31.3333333333333,134 30.6666666666667,133 30.6666666666667));4633
POLYGON ((134 30.6666666666667,134 31.3333333333333,135 31.3333333333333,135 30.6666666666667,134 30.6666666666667));4634
POLYGON ((135 30.6666666666667,135 31.3333333333333,136 31.3333333333333,136 30.6666666666667,135 30.6666666666667));4635
POLYGON ((136 30.6666666666667,136 31.3333333333333,137 31.3333333333333,137 30.6666666666667,136 30.6666666666667));4636
POLYGON ((137 30.6666666666667,137 31.3333333333333,138 31.3333333333333,138 30.6666666666667,137 30.6666666666667));4637
POLYGON ((138 30.6666666666667,138 31.3333333333333,139 31.3333333333333,139 30.6666666666667,138 30.6666666666667));4638
POLYGON ((139 30.6666666666667,139 31.3333333333333,140 31.3333333333333,140 30.6666666666667,139 30.6666666666667));4639
POLYGON ((140 30.6666666666667,140 31.3333333333333,141 31.3333333333333,141 30.6666666666667,140 30.6666666666667));4640
POLYGON ((141 30.6666666666667,141 31.3333333333333,142 31.3333333333333,142 30.6666666666667,141 30.6666666666667));4641
POLYGON ((142 30.6666666666667,142 31.3333333333333,143 31.3333333333333,143 30.6666666666667,142 30.6666666666667));4642
POLYGON ((143 30.6666666666667,143 31.3333333333333,144 31.3333333333333,144 30.6666666666667,143 30.6666666666667));4643
POLYGON ((144 30.6666666666667,144 31.3333333333333,145 31.3333333333333,145 30.6666666666667,144 30.6666666666667));4644
POLYGON ((145 30.6666666666667,145 31.3333333333333,146 31.3333333333333,146 30.6666666666667,145 30.6666666666667));4645
POLYGON ((146 30.6666666666667,146 31.3333333333333,147 31.3333333333333,147 30.6666666666667,146 30.6666666666667));4646
POLYGON ((147 30.6666666666667,147 31.3333333333333,148 31.3333333333333,148 30.6666666666667,147 30.6666666666667));4647
POLYGON ((148 30.6666666666667,148 31.3333333333333,149 31.3333333333333,149 30.6666666666667,148 30.6666666666667));4648
POLYGON ((149 30.6666666666667,149 31.3333333333333,150 31.3333333333333,150 30.6666666666667,149 30.6666666666667));4649
POLYGON ((150 30.6666666666667,150 31.3333333333333,151 31.3333333333333,151 30.6666666666667,150 30.6666666666667));4650
POLYGON ((151 30.6666666666667,151 31.3333333333333,152 31.3333333333333,152 30.6666666666667,151 30.6666666666667));4651
POLYGON ((152 30.6666666666667,152 31.3333333333333,153 31.3333333333333,153 30.6666666666667,152 30.6666666666667));4652
POLYGON ((153 30.6666666666667,153 31.3333333333333,154 31.3333333333333,154 30.6666666666667,153 30.6666666666667));4653
POLYGON ((154 30.6666666666667,154 31.3333333333333,,,154 30.6666666666667));4654
POLYGON ((122 30,122 30.6666666666667,123 30.6666666666667,123 30,122 30));4522
POLYGON ((123 30,123 30.6666666666667,124 30.6666666666667,124 30,123 30));4523
POLYGON ((124 30,124 30.6666666666667,125 30.6666666666667,125 30,124 30));4524
POLYGON ((125 30,125 30.6666666666667,126 30.6666666666667,126 30,125 30));4525
POLYGON ((126 30,126 30.6666666666667,127 30.6666666666667,127 30,126 30));4526
POLYGON ((127 30,127 30.6666666666667,128 30.6666666666667,128 30,127 30));4527
POLYGON ((128 30,128 30.6666666666667,129 30.6666666666667,129 30,128 30));4528
POLYGON ((129 30,129 30.6666666666667,130 30.6666666666667,130 30,129 30));4529
POLYGON ((130 30,130 30.6666666666667,131 30.6666666666667,131 30,130 30));4530
POLYGON ((131 30,131 30.6666666666667,132 30.6666666666667,132 30,131 30));4531
POLYGON ((132 30,132 30.6666666666667,133 30.6666666666667,133 30,132 30));4532
POLYGON ((133 30,133 30.6666666666667,134 30.6666666666667,134 30,133 30));4533
POLYGON ((134 30,134 30.6666666666667,135 30.6666666666667,135 30,134 30));4534
POLYGON ((135 30,135 30.6666666666667,136 30.6666666666667,136 30,135 30));4535
POLYGON ((136 30,136 30.6666666666667,137 30.6666666666667,137 30,136 30));4536
POLYGON ((137 30,137 30.6666666666667,138 30.6666666666667,138 30,137 30));4537
POLYGON ((138 30,138 30.6666666666667,139 30.6666666666667,139 30,138 30));4538
POLYGON ((139 30,139 30.6666666666667,140 30.6666666666667,140 30,139 30));4539
POLYGON ((140 30,140 30.6666666666667,141 30.6666666666667,141 30,140 30));4540
POLYGON ((141 30,141 30.6666666666667,142 30.6666666666667,142 30,141 30));4541
POLYGON ((142 30,142 30.6666666666667,143 30.6666666666667,143 30,142 30));4542
POLYGON ((143 30,143 30.6666666666667,144 30.6666666666667,144 30,143 30));4543
POLYGON ((144 30,144 30.6666666666667,145 30.6666666666667,145 30,144 30));4544
POLYGON ((145 30,145 30.6666666666667,146 30.6666666666667,146 30,145 30));4545
POLYGON ((146 30,146 30.6666666666667,147 30.6666666666667,147 30,146 30));4546
POLYGON ((147 30,147 30.6666666666667,148 30.6666666666667,148 30,147 30));4547
POLYGON ((148 30,148 30.6666666666667,149 30.6666666666667,149 30,148 30));4548
POLYGON ((149 30,149 30.6666666666667,150 30.6666666666667,150 30,149 30));4549
POLYGON ((150 30,150 30.6666666666667,151 30.6666666666667,151 30,150 30));4550
POLYGON ((151 30,151 30.6666666666667,152 30.6666666666667,152 30,151 30));4551
POLYGON ((152 30,152 30.6666666666667,153 30.6666666666667,153 30,152 30));4552
POLYGON ((153 30,153 30.6666666666667,154 30.6666666666667,154 30,153 30));4553
POLYGON ((154 30,154 30.6666666666667,,,154 30));4554
POLYGON ((122 29.3333333333333,122 30,123 30,123 29.3333333333333,122 29.3333333333333));4422
POLYGON ((123 29.3333333333333,123 30,124 30,124 29.3333333333333,123 29.3333333333333));4423
POLYGON ((124 29.3333333333333,124 30,125 30,125 29.3333333333333,124 29.3333333333333));4424
POLYGON ((125 29.3333333333333,125 30,126 30,126 29.3333333333333,125 29.3333333333333));4425
POLYGON ((126 29.3333333333333,126 30,127 30,127 29.3333333333333,126 29.3333333333333));4426
POLYGON ((127 29.3333333333333,127 30,128 30,128 29.3333333333333,127 29.3333333333333));4427
POLYGON ((128 29.3333333333333,128 30,129 30,129 29.3333333333333,128 29.3333333333333));4428
POLYGON ((129 29.3333333333333,129 30,130 30,130 29.3333333333333,129 29.3333333333333));4429
POLYGON ((130 29.3333333333333,130 30,131 30,131 29.3333333333333,130 29.3333333333333));4430
POLYGON ((131 29.3333333333333,131 30,132 30,132 29.3333333333333,131 29.3333333333333));4431
POLYGON ((132 29.3333333333333,132 30,133 30,133 29.3333333333333,132 29.3333333333333));4432
POLYGON ((133 29.3333333333333,133 30,134 30,134 29.3333333333333,133 29.3333333333333));4433
POLYGON ((134 29.3333333333333,134 30,135 30,135 29.3333333333333,134 29.3333333333333));4434
POLYGON ((135 29.3333333333333,135 30,136 30,136 29.3333333333333,135 29.3333333333333));4435
POLYGON ((136 29.3333333333333,136 30,137 30,137 29.3333333333333,136 29.3333333333333));4436
POLYGON ((137 29.3333333333333,137 30,138 30,138 29.3333333333333,137 29.3333333333333));4437
POLYGON ((138 29.3333333333333,138 30,139 30,139 29.3333333333333,138 29.3333333333333));4438
POLYGON ((139 29.3333333333333,139 30,140 30,140 29.3333333333333,139 29.3333333333333));4439
POLYGON ((140 29.3333333333333,140 30,141 30,141 29.3333333333333,140 29.3333333333333));4440
POLYGON ((141 29.3333333333333,141 30,142 30,142 29.3333333333333,141 29.3333333333333));4441
POLYGON ((142 29.3333333333333,142 30,143 30,143 29.3333333333333,142 29.3333333333333));4442
POLYGON ((143 29.3333333333333,143 30,144 30,144 29.3333333333333,143 29.3333333333333));4443
POLYGON ((144 29.3333333333333,144 30,145 30,145 29.3333333333333,144 29.3333333333333));4444
POLYGON ((145 29.3333333333333,145 30,146 30,146 29.3333333333333,145 29.3333333333333));4445
POLYGON ((146 29.3333333333333,146 30,147 30,147 29.3333333333333,146 29.3333333333333));4446
POLYGON ((147 29.3333333333333,147 30,148 30,148 29.3333333333333,147 29.3333333333333));4447
POLYGON ((148 29.3333333333333,148 30,149 30,149 29.3333333333333,148 29.3333333333333));4448
POLYGON ((149 29.3333333333333,149 30,150 30,150 29.3333333333333,149 29.3333333333333));4449
POLYGON ((150 29.3333333333333,150 30,151 30,151 29.3333333333333,150 29.3333333333333));4450
POLYGON ((151 29.3333333333333,151 30,152 30,152 29.3333333333333,151 29.3333333333333));4451
POLYGON ((152 29.3333333333333,152 30,153 30,153 29.3333333333333,152 29.3333333333333));4452
POLYGON ((153 29.3333333333333,153 30,154 30,154 29.3333333333333,153 29.3333333333333));4453
POLYGON ((154 29.3333333333333,154 30,,,154 29.3333333333333));4454
POLYGON ((122 28.6666666666667,122 29.3333333333333,123 29.3333333333333,123 28.6666666666667,122 28.6666666666667));4322
POLYGON ((123 28.6666666666667,123 29.3333333333333,124 29.3333333333333,124 28.6666666666667,123 28.6666666666667));4323
POLYGON ((124 28.6666666666667,124 29.3333333333333,125 29.3333333333333,125 28.6666666666667,124 28.6666666666667));4324
POLYGON ((125 28.6666666666667,125 29.3333333333333,126 29.3333333333333,126 28.6666666666667,125 28.6666666666667));4325
POLYGON ((126 28.6666666666667,126 29.3333333333333,127 29.3333333333333,127 28.6666666666667,126 28.6666666666667));4326
POLYGON ((127 28.6666666666667,127 29.3333333333333,128 29.3333333333333,128 28.6666666666667,127 28.6666666666667));4327
POLYGON ((128 28.6666666666667,128 29.3333333333333,129 29.3333333333333,129 28.6666666666667,128 28.6666666666667));4328
POLYGON ((129 28.6666666666667,129 29.3333333333333,130 29.3333333333333,130 28.6666666666667,129 28.6666666666667));4329
POLYGON ((130 28.6666666666667,130 29.3333333333333,131 29.3333333333333,131 28.6666666666667,130 28.6666666666667));4330
POLYGON ((131 28.6666666666667,131 29.3333333333333,132 29.3333333333333,132 28.6666666666667,131 28.6666666666667));4331
POLYGON ((132 28.6666666666667,132 29.3333333333333,133 29.3333333333333,133 28.6666666666667,132 28.6666666666667));4332
POLYGON ((133 28.6666666666667,133 29.3333333333333,134 29.3333333333333,134 28.6666666666667,133 28.6666666666667));4333
POLYGON ((134 28.6666666666667,134 29.3333333333333,135 29.3333333333333,135 28.6666666666667,134 28.6666666666667));4334
POLYGON ((135 28.6666666666667,135 29.3333333333333,136 29.3333333333333,136 28.6666666666667,135 28.6666666666667));4335
POLYGON ((136 28.6666666666667,136 29.3333333333333,137 29.3333333333333,137 28.6666666666667,136 28.6666666666667));4336
POLYGON ((137 28.6666666666667,137 29.3333333333333,138 29.3333333333333,138 28.6666666666667,137 28.6666666666667));4337
POLYGON ((138 28.6666666666667,138 29.3333333333333,139 29.3333333333333,139 28.6666666666667,138 28.6666666666667));4338
POLYGON ((139 28.6666666666667,139 29.3333333333333,140 29.3333333333333,140 28.6666666666667,139 28.6666666666667));4339
